update,global_step,lr,pg_loss,v_loss,entropy,approx_kl,clipfrac,recent_return_mean,recent_return_std,best_return,sps,elapsed_sec
1,1000,0.00025,0.008139103651046753,0.1627744734287262,1.7528443336486816,0.03018789365887642,0.6542500294744968,,,-1000000000.0,381,2.619427442550659
2,2000,0.00025,-0.008097514510154724,0.044375766068696976,1.6170660257339478,0.019342713057994843,0.42575001902878284,,,-1000000000.0,378,5.280564069747925
3,3000,0.00025,0.006859659682959318,0.04561074450612068,1.5711714029312134,0.02426080033183098,0.3650000151246786,,,-1000000000.0,381,7.857137441635132
4,4000,0.00025,-0.03026304766535759,0.04146401584148407,1.5772117376327515,0.030263353139162064,0.2920000103767961,,,-1000000000.0,382,10.455439805984497
5,5000,0.00025,0.0723496824502945,0.043969377875328064,1.5833747386932373,0.013090886175632477,0.3135000141337514,,,-1000000000.0,383,13.032443523406982
6,6000,0.00025,-0.03091934323310852,0.02037408947944641,1.6098747253417969,0.006921474821865559,0.17850000696489587,,,-1000000000.0,384,15.6171395778656
7,7000,0.00025,0.04047970473766327,0.04192633926868439,1.554541826248169,0.010172543115913868,0.1990000104997307,-20.75,0.4330127018922193,-20.0,379,18.446532487869263
8,8000,0.00025,0.007188375107944012,0.03518686071038246,1.5894145965576172,0.011814401485025883,0.2867500130087137,-20.625,0.4841229182759271,-20.0,377,21.188573598861694
9,9000,0.00025,0.06635293364524841,0.031182389706373215,1.6111754179000854,0.009200865402817726,0.2385000113863498,-20.625,0.4841229182759271,-20.0,378,23.78332209587097
10,10000,0.00025,-0.03224963694810867,0.02453778311610222,1.6542925834655762,0.010184054262936115,0.21200000890530646,-20.625,0.4841229182759271,-20.0,379,26.36813735961914
11,11000,0.00025,0.07131142169237137,0.01903637871146202,1.6145553588867188,0.011760931462049484,0.22400000877678394,-20.625,0.4841229182759271,-20.0,379,28.982189178466797
12,12000,0.00025,-0.10098566114902496,0.009522351436316967,1.5865696668624878,0.00964739266782999,0.19525000907015055,-20.625,0.4841229182759271,-20.0,379,31.630640745162964
13,13000,0.00025,-0.0399550199508667,0.02288028411567211,1.5983471870422363,0.018442798405885696,0.16275000618770719,-20.6,0.4898979485566356,-20.0,379,34.264593839645386
14,14000,0.00025,-0.028577199205756187,0.036177560687065125,1.587035894393921,0.008702670224010944,0.16800000797957182,-20.533333333333335,0.49888765156985887,-20.0,378,36.94111204147339
15,15000,0.00025,0.10789027810096741,0.05478392168879509,1.5688380002975464,0.012268946506083012,0.10675000410992652,-20.533333333333335,0.49888765156985887,-20.0,379,39.55770778656006
16,16000,0.00025,-0.02288217283785343,0.014026990160346031,1.5853734016418457,0.009950890205800533,0.1940000094473362,-20.5,0.5,-20.0,379,42.13820028305054
17,17000,0.00025,0.04967816546559334,0.014751438982784748,1.5591648817062378,0.013121414929628372,0.1410000086762011,-20.5,0.5,-20.0,380,44.685385942459106
18,18000,0.00025,-0.0014199429424479604,0.004709161818027496,1.4908747673034668,0.010929059237241745,0.14025000808760524,-20.5,0.5,-20.0,381,47.23108720779419
19,19000,0.00025,0.010820675641298294,0.0066215586848556995,1.5218404531478882,0.0038717282004654408,0.17950000776909292,-20.5,0.5,-20.0,381,49.78438210487366
20,20000,0.00025,0.11141984909772873,0.032136257737874985,1.4346308708190918,0.017786072567105293,0.26175001030787826,-20.5,0.5,-20.0,381,52.36602711677551
21,21000,0.00025,0.07195275276899338,0.017455508932471275,1.4534720182418823,0.017231697216629982,0.1417500050738454,-20.35,0.47696960070847294,-20.0,382,54.955859899520874
22,22000,0.00025,0.03358026221394539,0.038026295602321625,1.5115551948547363,0.01741534098982811,0.13725000666454434,-20.4,0.4898979485566357,-20.0,382,57.51542091369629
23,23000,0.00025,-0.105931855738163,0.03242778033018112,1.5941821336746216,0.015590541996061802,0.21525000827386975,-20.4,0.4898979485566357,-20.0,382,60.07423520088196
24,24000,0.00025,0.029992474243044853,0.026525670662522316,1.627143144607544,0.003692307509481907,0.1517500056361314,-20.4,0.4898979485566357,-20.0,383,62.621814489364624
25,25000,0.00025,0.02024049125611782,0.018739040940999985,1.6455315351486206,0.011631941422820091,0.19250000920146704,-20.4,0.4898979485566357,-20.0,383,65.1800286769867
26,26000,0.00025,0.053874652832746506,0.018017487600445747,1.5763702392578125,0.02758360095322132,0.2715000141179189,-20.4,0.4898979485566357,-20.0,383,67.73246312141418
27,27000,0.00025,-0.003494207514449954,0.03249500319361687,1.5379600524902344,0.02133612520992756,0.22825001273304224,-20.35,0.4769696007084729,-20.0,383,70.4506139755249
28,28000,0.00025,0.011732472106814384,0.01806124858558178,1.4292259216308594,0.009455461986362934,0.08375000371597707,-20.35,0.4769696007084729,-20.0,383,73.03458714485168
29,29000,0.00025,-0.04885108396410942,0.03790814056992531,1.4901940822601318,0.011223222129046917,0.0832500028773211,-20.35,0.4769696007084729,-20.0,383,75.66412043571472
30,30000,0.00025,0.04564407095313072,0.024808429181575775,1.5549696683883667,0.011506852693855762,0.18400001002009958,-20.35,0.47696960070847294,-20.0,383,78.22319793701172
31,31000,0.00025,-0.08664876222610474,0.024870490655303,1.561259388923645,0.007285728584975004,0.13825000473298132,-20.35,0.47696960070847294,-20.0,383,80.83431649208069
32,32000,0.00025,0.0026961355470120907,0.03317791223526001,1.5716898441314697,0.0070198941975831985,0.16925000760238618,-20.35,0.47696960070847294,-20.0,383,83.39676713943481
33,33000,0.00025,-0.04953315854072571,0.03873751685023308,1.5360472202301025,0.009053455665707588,0.07500000309664756,-20.35,0.4769696007084729,-20.0,383,85.97631812095642
34,34000,0.00025,-0.03605575114488602,0.026331132277846336,1.5223580598831177,0.008572264574468136,0.12550000532064587,-20.35,0.4769696007084729,-20.0,383,88.54981660842896
