update,global_step,lr,pg_loss,v_loss,entropy,approx_kl,clipfrac,recent_return_mean,recent_return_std,best_return,sps,elapsed_sec
1,1000,0.001,0.38397642970085144,0.05342825502157211,0.911614716053009,2.8364410400390625,0.8495000265538692,,,-1000000000.0,712,1.4036269187927246
2,2000,0.001,-0.002279766136780381,0.2970772683620453,0.3851684629917145,2.844132661819458,0.8110000044107437,,,-1000000000.0,748,2.670417547225952
3,3000,0.001,-0.09339716285467148,0.10619925707578659,0.3101046085357666,0.002636486431583762,0.07150000287219882,,,-1000000000.0,751,3.9935054779052734
4,4000,0.001,-0.05455932021141052,0.03095008246600628,0.11336793005466461,0.03673240914940834,0.039750002324581146,,,-1000000000.0,759,5.270081043243408
5,5000,0.001,0.09977684170007706,0.03604559600353241,0.18555164337158203,0.021031729876995087,0.019750000559724867,,,-1000000000.0,746,6.7023186683654785
6,6000,0.001,0.04360503330826759,0.1182229220867157,0.0975818783044815,0.03009735606610775,0.029750001122010872,,,-1000000000.0,732,8.1914644241333
7,7000,0.001,-0.09248322248458862,0.13467636704444885,0.13112816214561462,0.003449432784691453,0.011000000464264303,-20.875,0.33071891388307384,-20.0,727,9.622123003005981
8,8000,0.001,0.013277464546263218,0.028251562267541885,0.18216779828071594,0.00048624922055751085,0.014500000601401553,-20.875,0.33071891388307384,-20.0,733,10.901007652282715
9,9000,0.001,-0.09326361119747162,0.02217448502779007,0.2853505611419678,0.03606593608856201,0.046750001958571374,-20.875,0.33071891388307384,-20.0,743,12.107161521911621
10,10000,0.001,-0.12426777929067612,0.02298581786453724,0.0010767494095489383,0.10819907486438751,0.01675000091199763,-20.875,0.33071891388307384,-20.0,747,13.376612186431885
11,11000,0.001,-0.050578486174345016,0.08485081791877747,0.005236392375081778,1.325607428270814e-07,0.0,-20.875,0.33071891388307384,-20.0,753,14.590991258621216
12,12000,0.001,-0.007145378272980452,0.04540713131427765,0.05534067749977112,3.3272266591666266e-05,0.0,-20.875,0.33071891388307384,-20.0,758,15.828966856002808
13,13000,0.001,0.028667284175753593,0.09306705743074417,0.006454637739807367,0.03114010952413082,0.0090000003692694,-20.9375,0.24206145913796356,-20.0,761,17.075334310531616
14,14000,0.001,-0.024501517415046692,0.03685994818806648,0.008956193923950195,9.894371544305613e-08,0.001500000071246177,-20.9375,0.24206145913796356,-20.0,762,18.36156129837036
15,15000,0.001,0.007437605410814285,0.01932331547141075,0.05151233449578285,1.794767376850359e-05,0.0007500000356230885,-20.9375,0.24206145913796356,-20.0,762,19.679404973983765
16,16000,0.001,0.05326332524418831,0.05545544624328613,0.14455167949199677,0.00432480638846755,0.006500000221421942,-20.9375,0.24206145913796356,-20.0,762,20.970659732818604
17,17000,0.001,-0.0030054189264774323,0.012589319609105587,0.09361612796783447,0.005558619275689125,0.027750001288950443,-20.9375,0.24206145913796356,-20.0,766,22.175973415374756
18,18000,0.001,0.05558645352721214,0.14388929307460785,0.03513473644852638,0.020520422607660294,0.01525000057881698,-20.9375,0.24206145913796356,-20.0,769,23.400514841079712
19,19000,0.001,0.06391708552837372,0.09991548210382462,0.03981899842619896,3.51293092535343e-05,0.005750000214902684,-20.95,0.21794494717703367,-20.0,770,24.65277910232544
20,20000,0.001,-0.11983387917280197,0.009386280551552773,0.0694456547498703,0.002318404847756028,0.0045000001846347,-20.95,0.21794494717703367,-20.0,772,25.905540227890015
21,21000,0.001,0.007304886355996132,0.009880910627543926,0.07685571908950806,0.0017507157754153013,0.010000000358559191,-20.95,0.21794494717703367,-20.0,766,27.39380693435669
