update,global_step,lr,pg_loss,v_loss,entropy,approx_kl,clipfrac,recent_return_mean,recent_return_std,best_return,sps,elapsed_sec
1,1000,0.001,0.49437135457992554,0.047297876328229904,0.7660936713218689,2.7557060718536377,0.8280000276863575,,,-1000000000.0,814,1.2272450923919678
2,2000,0.001,0.22148990631103516,0.26159101724624634,0.801204264163971,3.108764171600342,0.8330000154674053,,,-1000000000.0,757,2.6412315368652344
3,3000,0.001,0.0984184592962265,0.09804057329893112,0.6967345476150513,0.35313624143600464,0.3035000083036721,,,-1000000000.0,746,4.020667552947998
4,4000,0.001,0.02933521755039692,0.06534858793020248,0.7046794891357422,0.010436348617076874,0.4080000034882687,,,-1000000000.0,724,5.517630577087402
5,5000,0.001,-0.01065774541348219,0.21447709202766418,0.9210932850837708,0.09708744287490845,0.6037500104575884,,,-1000000000.0,737,6.7763402462005615
6,6000,0.001,0.033609889447689056,0.03846646472811699,0.8818694353103638,0.026419851928949356,0.6455000047571957,,,-1000000000.0,749,8.004786252975464
7,7000,0.001,0.010671189054846764,0.0827949047088623,1.0776276588439941,0.04568173363804817,0.35725000730599277,-21.0,0.0,-21.0,740,9.449371814727783
8,8000,0.001,0.026437323540449142,0.059254955500364304,0.9348105192184448,0.013946369290351868,0.2497500111348927,-20.666666666666668,0.4714045207910317,-20.0,738,10.825978517532349
9,9000,0.001,0.026615498587489128,0.03590025007724762,0.9721171259880066,0.014870330691337585,0.21700000925920904,-20.375,0.6959705453537527,-19.0,738,12.18724799156189
10,10000,0.001,-0.04201773554086685,0.07316702604293823,0.9614707827568054,0.008422011509537697,0.17750000962405466,-20.375,0.6959705453537527,-19.0,742,13.465455532073975
11,11000,0.001,-0.11578792333602905,0.035126809030771255,1.0235965251922607,0.022234834730625153,0.2615000152727589,-20.375,0.6959705453537527,-19.0,745,14.755866289138794
12,12000,0.001,-0.047407589852809906,0.021228937432169914,1.177546739578247,0.009881432168185711,0.1857500101905316,-20.375,0.6959705453537527,-19.0,749,16.000638484954834
13,13000,0.001,0.005057795904576778,0.04767540842294693,1.0464198589324951,0.01690996252000332,0.1932500076945871,-20.545454545454547,0.655554777357089,-19.0,754,17.22258496284485
14,14000,0.001,-0.1086214929819107,0.027273092418909073,1.0542795658111572,0.008777039125561714,0.23925000941380858,-20.642857142857142,0.6102859818083951,-19.0,758,18.459880352020264
15,15000,0.001,-0.07265924662351608,0.03707247972488403,0.9805925488471985,0.01606740988790989,0.09500000276602805,-20.666666666666668,0.596284793999944,-19.0,762,19.675799131393433
16,16000,0.001,0.09133395552635193,0.043477173894643784,1.0591007471084595,0.005869149696081877,0.18825000876677223,-20.6875,0.582961190818051,-19.0,758,21.0924015045166
17,17000,0.001,0.011877461336553097,0.017207549884915352,1.061539888381958,0.00818941555917263,0.18400000606197864,-20.6875,0.582961190818051,-19.0,756,22.4680118560791
18,18000,0.001,0.004156284499913454,0.017929714173078537,0.9207421541213989,0.024386344477534294,0.24650001293048263,-20.6875,0.582961190818051,-19.0,758,23.7267165184021
19,19000,0.001,0.01231876015663147,0.09680139273405075,0.8458667397499084,0.01060647051781416,0.3185000050289091,-20.705882352941178,0.5703152773430975,-19.0,759,25.017565488815308
20,20000,0.001,0.022298457100987434,0.04891007021069527,0.8225202560424805,0.018179941922426224,0.24600001351791434,-20.736842105263158,0.5469634129164875,-19.0,758,26.360268354415894
21,21000,0.001,0.010938774794340134,0.03959410637617111,0.9792686700820923,0.033278241753578186,0.3660000149975531,-20.6,0.66332495807108,-19.0,758,27.684104204177856
22,22000,0.001,-0.04839102923870087,0.02735489420592785,0.9951460361480713,0.005916315130889416,0.08350000280188397,-20.6,0.66332495807108,-19.0,758,28.997324228286743
23,23000,0.001,-0.006088562309741974,0.07183030992746353,0.9621661901473999,0.002762570045888424,0.11825000518001616,-20.35,0.9096702699330126,-18.0,751,30.618348121643066
