update,global_step,lr,pg_loss,v_loss,entropy,approx_kl,clipfrac,recent_return_mean,recent_return_std,best_return,sps,elapsed_sec
1,1000,0.001,0.5258265137672424,1.3648509979248047,0.672606348991394,5.22442102432251,0.8790000192821026,,,-1000000000.0,719,1.389580488204956
2,2000,0.001,0.08434081822633743,0.08754827082157135,0.5092813968658447,0.02688172645866871,0.7712500002235174,,,-1000000000.0,728,2.7460269927978516
3,3000,0.001,-0.014948172494769096,0.055262237787246704,0.6894074082374573,0.027605662122368813,0.21200000634416938,,,-1000000000.0,724,4.1408751010894775
4,4000,0.001,-0.0015591183910146356,0.058859933167696,0.7188568711280823,0.015161732211709023,0.8440000079572201,,,-1000000000.0,728,5.493203639984131
5,5000,0.001,0.07239458709955215,0.04236515238881111,0.5506671667098999,0.002297071274369955,0.15275000710971653,,,-1000000000.0,731,6.833549737930298
6,6000,0.001,-0.037507761269807816,0.03314076364040375,0.6875240802764893,0.06929048150777817,0.2337500107823871,,,-1000000000.0,732,8.190638303756714
7,7000,0.001,-0.05744972079992294,0.0850815549492836,0.6448177695274353,0.0028114605229347944,0.2745000146969687,-20.4,0.4898979485566356,-20.0,719,9.734769821166992
8,8000,0.001,0.10816062241792679,0.10426507890224457,0.6895207762718201,0.007352583110332489,0.14575000476907007,-20.375,0.4841229182759271,-20.0,718,11.12782073020935
9,9000,0.001,0.02933119423687458,0.05806116759777069,0.9706250429153442,0.023669958114624023,0.10675000306218863,-20.375,0.4841229182759271,-20.0,720,12.497121334075928
10,10000,0.001,0.014890446327626705,0.0549820251762867,0.6098248362541199,0.04361389949917793,0.23375001037493348,-20.375,0.4841229182759271,-20.0,721,13.85778260231018
11,11000,0.001,0.046200942248106,0.05619511008262634,0.6117517352104187,0.008390774950385094,0.06150000257184729,-20.375,0.4841229182759271,-20.0,722,15.23305630683899
12,12000,0.001,0.05691825971007347,0.04219333082437515,0.6136900782585144,0.002558733569458127,0.07850000422331505,-20.375,0.4841229182759271,-20.0,724,16.567728757858276
13,13000,0.001,-0.05891973152756691,0.013536720536649227,0.6050476431846619,0.011867577210068703,0.05325000258744694,-20.375,0.4841229182759271,-20.0,727,17.858181715011597
14,14000,0.001,0.012574682012200356,0.09391371160745621,0.5369542837142944,0.026363125070929527,0.05575000180397183,-20.357142857142858,0.4791574237499549,-20.0,728,19.225637197494507
15,15000,0.001,-0.06645938754081726,0.04472498595714569,0.5482686161994934,0.0007896967581473291,0.03700000114622526,-20.375,0.4841229182759271,-20.0,727,20.6084086894989
16,16000,0.001,-0.009001222439110279,0.05591372773051262,0.540594756603241,0.006681477651000023,0.10825000519980676,-20.375,0.4841229182759271,-20.0,728,21.952157497406006
17,17000,0.001,0.03949199616909027,0.028664875775575638,0.7219772934913635,0.015748092904686928,0.0845000033150427,-20.375,0.4841229182759271,-20.0,730,23.28709101676941
18,18000,0.001,-0.006413334049284458,0.029619527980685234,0.8868683576583862,0.014564256183803082,0.0982500035315752,-20.375,0.4841229182759271,-20.0,730,24.64211678504944
19,19000,0.001,-0.084691621363163,0.04219053313136101,0.9303451180458069,0.003154271747916937,0.061000003275694326,-20.375,0.4841229182759271,-20.0,729,26.048914670944214
20,20000,0.001,0.10141872614622116,0.03209049254655838,0.7204965949058533,0.01812446489930153,0.10750000574626029,-20.41176470588235,0.49215295678475035,-20.0,730,27.372979402542114
21,21000,0.001,0.07125856727361679,0.046808455139398575,0.7002366185188293,0.011292298324406147,0.06650000379886478,-20.45,0.49749371855331004,-20.0,730,28.756707191467285
22,22000,0.001,-0.003376022446900606,0.05035986006259918,0.3990092873573303,0.04063314199447632,0.1005000039585866,-20.5,0.5,-20.0,730,30.10886859893799
23,23000,0.001,0.02753644436597824,0.038973741233348846,0.3357695937156677,0.009924395941197872,0.06425000308081508,-20.5,0.5,-20.0,731,31.442720651626587
24,24000,0.001,0.02267581596970558,0.01225130446255207,0.22194156050682068,0.004166301805526018,0.05475000280421227,-20.5,0.5,-20.0,732,32.775742053985596
25,25000,0.001,-0.003659897018224001,0.04983842000365257,0.27608954906463623,0.0005848205182701349,0.0392500021844171,-20.5,0.5,-20.0,733,34.10588097572327
26,26000,0.001,-0.03504009172320366,0.07174121588468552,0.18229392170906067,0.019591467455029488,0.07800000390852802,-20.5,0.5,-20.0,731,35.54778718948364
27,27000,0.001,0.0549405999481678,0.03272157907485962,0.26490452885627747,0.00453456025570631,0.03400000135297887,-20.5,0.5,-20.0,732,36.84737777709961
28,28000,0.001,0.058686982840299606,0.043361566960811615,0.22485248744487762,0.01047550980001688,0.03700000201934017,-20.5,0.5,-20.0,733,38.158238887786865
29,29000,0.001,-0.04174520820379257,0.05499665439128876,0.2916408181190491,0.03699345514178276,0.023500001174397767,-20.45,0.49749371855331004,-20.0,734,39.495585203170776
30,30000,0.001,0.003855560440570116,0.02542964555323124,0.3884117305278778,0.0144039336591959,0.0315000016707927,-20.45,0.49749371855331004,-20.0,734,40.82227110862732
31,31000,0.001,-0.06812752038240433,0.027834348380565643,0.3641397953033447,0.007179210893809795,0.05725000309757888,-20.45,0.49749371855331004,-20.0,734,42.18644905090332
32,32000,0.001,-0.01556484680622816,0.03011959046125412,0.2632879614830017,0.009860891848802567,0.04775000223889947,-20.5,0.5,-20.0,735,43.532615661621094
33,33000,0.001,-0.00282562174834311,0.010175593197345734,0.5622420907020569,0.01776142045855522,0.07675000408198684,-20.5,0.5,-20.0,735,44.85042095184326
34,34000,0.001,0.035611819475889206,0.05135264992713928,0.7267093658447266,0.032202981412410736,0.10175000358140096,-20.5,0.5,-20.0,736,46.19458627700806
35,35000,0.001,0.06366944313049316,0.03690381720662117,0.7165496945381165,0.012615934945642948,0.1005000043369364,-20.5,0.5,-20.0,736,47.509413719177246
36,36000,0.001,-0.031037254258990288,0.031039003282785416,0.8419972658157349,0.005730218254029751,0.11675000516697764,-20.5,0.5,-20.0,737,48.82979440689087
37,37000,0.001,-0.035758454352617264,0.034050386399030685,0.8702886700630188,0.0050882138311862946,0.17050000629387796,-20.5,0.5,-20.0,737,50.17011260986328
38,38000,0.001,0.0285637229681015,0.013589228503406048,0.9824669361114502,0.004877294413745403,0.15100000609527342,-20.5,0.5,-20.0,738,51.449301958084106
39,39000,0.001,0.06814960390329361,0.03930593654513359,0.6923469305038452,0.05393999442458153,0.2017500069923699,-20.45,0.49749371855331004,-20.0,739,52.76990365982056
40,40000,0.001,-0.036095667630434036,0.018465375527739525,0.7487157583236694,0.003679237561300397,0.18975001078797504,-20.45,0.49749371855331004,-20.0,739,54.106016874313354
41,41000,0.001,-0.007030438166111708,0.032489992678165436,0.8630454540252686,0.03676891699433327,0.1427500059362501,-20.35,0.4769696007084729,-20.0,739,55.43195104598999
42,42000,0.001,0.03237232193350792,0.03736567124724388,0.7586613297462463,0.022101769223809242,0.13900000764988363,-20.35,0.4769696007084729,-20.0,740,56.74488353729248
43,43000,0.001,0.01226288452744484,0.03490648791193962,0.6074530482292175,0.008690828457474709,0.07150000391993672,-20.3,0.5567764362830022,-19.0,738,58.2246527671814
44,44000,0.001,-0.04278089106082916,0.015758173540234566,0.5783783793449402,0.0025246082805097103,0.04175000207033008,-20.3,0.5567764362830022,-19.0,739,59.52378296852112
45,45000,0.001,-0.08427755534648895,0.008229660801589489,0.6365797519683838,0.003412646008655429,0.03825000158394687,-20.3,0.5567764362830022,-19.0,738,60.92949104309082
46,46000,0.001,0.004000143148005009,0.024006690829992294,0.578618586063385,0.006382819265127182,0.05500000237952918,-20.4,0.5830951894845301,-19.0,738,62.286943197250366
47,47000,0.001,0.06263969838619232,0.034017130732536316,0.5278165340423584,0.0023333898279815912,0.060000002617016435,-20.45,0.5894913061275798,-19.0,738,63.63520836830139
48,48000,0.001,-0.05927443131804466,0.023359159007668495,0.6181848645210266,0.0020270792301744223,0.09375000500585884,-20.45,0.5894913061275798,-19.0,738,64.9848883152008
49,49000,0.001,0.03691013529896736,0.05146853253245354,0.6090537309646606,0.005585403647273779,0.05050000234041363,-20.45,0.5894913061275798,-19.0,738,66.32342100143433
50,50000,0.001,-2.9815675588906743e-05,0.01882353611290455,0.8862524628639221,0.048748359084129333,0.26500001456588507,-20.45,0.5894913061275798,-19.0,738,67.66264533996582
51,51000,0.001,-0.0466427244246006,0.022241750732064247,0.8987559676170349,0.01768587715923786,0.12250000561471097,-20.45,0.5894913061275798,-19.0,739,68.96420407295227
52,52000,0.001,-0.07168334722518921,0.010613665916025639,0.9646320939064026,0.02808726578950882,0.25975001067854464,-20.45,0.5894913061275798,-19.0,739,70.2853512763977
53,53000,0.001,-0.0006170845590531826,0.013791876845061779,0.9341671466827393,0.004348163492977619,0.05550000225775875,-20.5,0.5916079783099616,-19.0,739,71.68649768829346
54,54000,0.001,-0.016761459410190582,0.028525840491056442,0.9926185011863708,0.010316096246242523,0.13175000506453216,-20.5,0.5916079783099616,-19.0,739,73.02876949310303
55,55000,0.001,-0.005582065787166357,0.032770153135061264,1.1315257549285889,0.0055379318073391914,0.11675000481773168,-20.5,0.5916079783099616,-19.0,739,74.35938239097595
56,56000,0.001,-0.02332727611064911,0.019226940348744392,1.0754899978637695,0.008107361383736134,0.17650000960566103,-20.5,0.5916079783099616,-19.0,739,75.70755863189697
57,57000,0.001,0.09154112637042999,0.030863812193274498,1.0192965269088745,0.010058908723294735,0.08975000338978134,-20.5,0.5916079783099616,-19.0,739,77.03727555274963
58,58000,0.001,-0.05539926514029503,0.027558280155062675,1.1083070039749146,0.007133234292268753,0.1712500099092722,-20.5,0.5916079783099616,-19.0,740,78.35451197624207
59,59000,0.001,-0.0577387697994709,0.021922966465353966,1.1722416877746582,0.007565150503069162,0.12500000523868948,-20.55,0.5894913061275798,-19.0,740,79.68078231811523
60,60000,0.001,-0.020129108801484108,0.0736510157585144,0.92132967710495,0.038120027631521225,0.1625000077765435,-20.5,0.5916079783099616,-19.0,740,81.01633048057556
61,61000,0.001,0.10846057534217834,0.034625571221113205,0.9759025573730469,0.0050681764259934425,0.1020000025164336,-20.55,0.49749371855331004,-19.0,740,82.3991813659668
62,62000,0.001,0.035669174045324326,0.03225075453519821,1.001065731048584,0.01756954938173294,0.21850000924314372,-20.55,0.49749371855331004,-19.0,739,83.79652810096741
63,63000,0.001,0.05219215527176857,0.038418471813201904,0.9755460619926453,0.00556991808116436,0.12125000613741577,-20.5,0.5,-19.0,739,85.14056468009949
64,64000,0.001,-0.029698120430111885,0.03128504380583763,0.9921944737434387,0.0023562400601804256,0.09825000408454798,-20.5,0.5,-19.0,740,86.47137498855591
