update,global_step,lr,pg_loss,v_loss,entropy,approx_kl,clipfrac,recent_return_mean,recent_return_std,best_return,sps,elapsed_sec
1,1000,0.001,0.27876022458076477,0.7062293887138367,1.0569908618927002,2.9906468391418457,0.8717500120401382,,,-1000000000.0,752,1.3287274837493896
2,2000,0.001,0.23498010635375977,0.15335960686206818,0.7315824031829834,0.22409145534038544,0.533000020775944,,,-1000000000.0,780,2.5636708736419678
3,3000,0.001,0.08498784154653549,0.11404044926166534,0.2421051263809204,0.16932234168052673,0.2755000104662031,,,-1000000000.0,790,3.7970614433288574
4,4000,0.001,-0.019625287503004074,0.1084161177277565,0.4180212914943695,0.0438566692173481,0.04175000169198029,,,-1000000000.0,808,4.947831869125366
5,5000,0.001,-0.054088421165943146,0.1301589012145996,0.1063380315899849,0.09449835121631622,0.0635000040056184,,,-1000000000.0,809,6.174503326416016
6,6000,0.001,0.007393341511487961,0.06288539618253708,0.04926464334130287,0.012338696047663689,0.010000000416766852,,,-1000000000.0,818,7.327455043792725
7,7000,0.001,-0.030047422274947166,0.05814577639102936,0.030801881104707718,0.00046732404734939337,0.006250000180443749,-21.0,0.0,-21.0,800,8.745299577713013
8,8000,0.001,0.019516022875905037,0.17978620529174805,0.20295047760009766,0.04501696303486824,0.004250000201864168,-21.0,0.0,-21.0,792,10.100790739059448
9,9000,0.001,0.007286613807082176,0.04476162791252136,0.7910600304603577,0.10604480654001236,0.03450000155135058,-21.0,0.0,-21.0,773,11.633556127548218
10,10000,0.001,-0.05084701254963875,0.05720559135079384,0.3651874363422394,0.025087399408221245,0.07625000312691554,-21.0,0.0,-21.0,772,12.947556734085083
11,11000,0.001,0.023727450519800186,0.048096660524606705,0.14314208924770355,0.04865378513932228,0.057750002830289304,-21.0,0.0,-21.0,757,14.512179136276245
12,12000,0.001,0.03532002493739128,0.04262218996882439,0.07391607761383057,0.0070717777125537395,0.01250000050640665,-21.0,0.0,-21.0,746,16.068467617034912
13,13000,0.001,0.004701385740190744,0.07934538275003433,0.03620060160756111,0.004584307316690683,0.006000000226777047,-21.0,0.0,-21.0,747,17.39904499053955
14,14000,0.001,-0.038180917501449585,0.06029542163014412,0.11350341141223907,0.019537698477506638,0.001500000071246177,-21.0,0.0,-21.0,741,18.868683338165283
15,15000,0.001,-0.10932096838951111,0.0579507015645504,0.15665164589881897,0.0036175560671836138,0.017250000615604222,-21.0,0.0,-21.0,736,20.353654623031616
16,16000,0.001,0.011027250438928604,0.01523243635892868,0.3287118077278137,0.009692280553281307,0.013750000653089955,-21.0,0.0,-21.0,736,21.725450038909912
17,17000,0.001,-0.11063852161169052,0.02809061110019684,0.3806007206439972,0.003014479298144579,0.054250002605840564,-21.0,0.0,-21.0,729,23.292240381240845
18,18000,0.001,0.029722705483436584,0.00898547749966383,0.4105222225189209,0.011126233264803886,0.04650000238325447,-21.0,0.0,-21.0,723,24.8897922039032
19,19000,0.001,0.07900580018758774,0.06730634719133377,0.0004948179703205824,0.23954099416732788,0.036500001791864634,-21.0,0.0,-21.0,719,26.405537366867065
20,20000,0.001,0.07899508625268936,0.07439624518156052,0.0008097612881101668,2.0265579436795633e-08,0.0,-21.0,0.0,-21.0,714,27.986751556396484
21,21000,0.001,-0.0552348718047142,0.027012726292014122,0.0030865250155329704,4.2915345943583816e-08,0.0,-21.0,0.0,-21.0,712,29.453907012939453
22,22000,0.001,-0.010317170061171055,0.014578656293451786,0.0008631834643892944,7.009506219901596e-08,0.0012500000593718141,-21.0,0.0,-21.0,710,30.949867248535156
23,23000,0.001,0.04297219216823578,0.012875803746283054,0.0005654766573570669,0.0,0.0,-21.0,0.0,-21.0,710,32.35733604431152
24,24000,0.001,-0.06665920466184616,0.0080898841843009,0.0007598856464028358,2.2649766506788183e-08,0.0,-21.0,0.0,-21.0,708,33.887744188308716
25,25000,0.001,0.030190661549568176,0.026277650147676468,0.0013415409484878182,2.2649766506788183e-08,0.0,-21.0,0.0,-21.0,707,35.32196068763733
26,26000,0.001,0.03634693846106529,0.02350887842476368,0.0020971426274627447,2.169609203406253e-08,0.0,-21.0,0.0,-21.0,710,36.59501647949219
27,27000,0.001,-0.09656558185815811,0.007690011989325285,0.003011592198163271,2.7418137094059603e-08,0.0,-21.0,0.0,-21.0,712,37.87000632286072
28,28000,0.001,0.035659585148096085,0.003182694548740983,0.00621953047811985,6.794930129672139e-08,0.0,-21.0,0.0,-21.0,709,39.48027968406677
29,29000,0.001,-0.011105351150035858,0.008340995758771896,0.01416733954101801,5.166530741007591e-07,0.0,-21.0,0.0,-21.0,712,40.72563076019287
30,30000,0.001,0.07678788900375366,0.011060723103582859,0.06932482123374939,3.8422826037276536e-05,0.0010000000474974513,-21.0,0.0,-21.0,710,42.23101735115051
31,31000,0.001,0.052739664912223816,0.06196725741028786,0.026523226872086525,0.0002525858872104436,0.00900000031106174,-21.0,0.0,-21.0,707,43.78649640083313
32,32000,0.001,-0.0038834649603813887,0.03114023245871067,0.10485245287418365,0.0001285996549995616,0.002750000130617991,-21.0,0.0,-21.0,704,45.40515756607056
33,33000,0.001,0.00267559546045959,0.005228021647781134,0.1394200176000595,0.008281704038381577,0.015500000590691343,-21.0,0.0,-21.0,701,47.024977684020996
34,34000,0.001,-0.023027054965496063,0.0031798621639609337,0.3296191394329071,0.006260197144001722,0.029000001639360562,-21.0,0.0,-21.0,699,48.61159706115723
35,35000,0.001,-0.014951981604099274,0.053035836666822433,0.06120498478412628,0.04405242204666138,0.037750001763924956,-21.0,0.0,-21.0,696,50.21581292152405
36,36000,0.001,-0.02676110900938511,0.028299488127231598,0.3751330077648163,0.04117948189377785,0.06275000350433402,-21.0,0.0,-21.0,697,51.5815269947052
37,37000,0.001,0.010524610988795757,0.035829175263643265,0.39315101504325867,0.013494948856532574,0.07350000308360904,-21.0,0.0,-21.0,697,53.06050753593445
38,38000,0.001,-0.0028710137121379375,0.03401997685432434,0.18438506126403809,0.0052565825171768665,0.024750000797212124,-21.0,0.0,-21.0,694,54.70203900337219
39,39000,0.001,0.09110672026872635,0.024562420323491096,0.2893123924732208,0.0025178210344165564,0.04250000190222636,-21.0,0.0,-21.0,696,55.98287034034729
40,40000,0.001,-0.02238493785262108,0.02747102826833725,0.41275301575660706,0.02705882303416729,0.04975000271224417,-21.0,0.0,-21.0,694,57.58803391456604
41,41000,0.001,0.03778168186545372,0.009145506657660007,0.44519659876823425,0.017298752442002296,0.04875000345055014,-21.0,0.0,-21.0,695,58.953710079193115
42,42000,0.001,0.16493070125579834,0.012766619212925434,0.6684398055076599,0.18521161377429962,0.21425001005991362,-21.0,0.0,-21.0,693,60.54871153831482
43,43000,0.001,0.06112229451537132,0.02954745851457119,0.7365882992744446,0.011436918750405312,0.06225000211270526,-21.0,0.0,-21.0,695,61.86105990409851
44,44000,0.001,-0.07414329797029495,0.03454674035310745,0.7958600521087646,0.044183261692523956,0.18975000985665247,-21.0,0.0,-21.0,693,63.421571016311646
45,45000,0.001,-0.06710284948348999,0.028807487338781357,0.8133430480957031,0.03473656624555588,0.2562500156054739,-21.0,0.0,-21.0,693,64.90035343170166
46,46000,0.001,0.117551788687706,0.026835378259420395,0.8358898758888245,0.004795090761035681,0.2027500095719006,-21.0,0.0,-21.0,692,66.45636916160583
47,47000,0.001,0.03482745215296745,0.01613394357264042,0.9914513826370239,0.035704728215932846,0.07900000200606883,-21.0,0.0,-21.0,690,68.10930156707764
48,48000,0.001,-0.0014712411211803555,0.028783364221453667,0.9694636464118958,0.017587747424840927,0.2845000147644896,-21.0,0.0,-21.0,690,69.54099655151367
49,49000,0.001,-0.005263430066406727,0.04573797807097435,0.9079314470291138,0.010744442231953144,0.10350000683683902,-21.0,0.0,-21.0,689,71.10850739479065
50,50000,0.001,-0.022617749869823456,0.02596256509423256,0.935924768447876,0.022874249145388603,0.23125000938307494,-21.0,0.0,-21.0,687,72.71378469467163
51,51000,0.001,-0.04147437587380409,0.02992253564298153,0.9650372862815857,0.011673790402710438,0.08950000384356827,-21.0,0.0,-21.0,686,74.28863310813904
52,52000,0.001,-0.013318485580384731,0.03844470530748367,1.0049711465835571,0.006242209579795599,0.11875000491272658,-21.0,0.0,-21.0,687,75.59817838668823
