update,global_step,lr,pg_loss,v_loss,entropy,approx_kl,clipfrac,recent_return_mean,recent_return_std,best_return,sps,elapsed_sec
1,1000,0.001,0.26386427879333496,0.10774952173233032,1.193127989768982,2.1579346656799316,0.837000023573637,,,-1000000000.0,693,1.4421567916870117
2,2000,0.001,0.12911121547222137,0.13118912279605865,1.1961348056793213,0.20492948591709137,0.7422500140964985,,,-1000000000.0,714,2.798013210296631
3,3000,0.001,0.08441954851150513,0.11906151473522186,0.742621123790741,0.17428691685199738,0.4242500155232847,,,-1000000000.0,724,4.140991449356079
4,4000,0.001,0.08543816953897476,0.3143013119697571,0.5120397210121155,0.2950473427772522,0.5000000083819032,,,-1000000000.0,729,5.484772205352783
5,5000,0.001,0.0579846128821373,0.050971027463674545,0.3985719382762909,0.5096864104270935,0.7457500267773867,,,-1000000000.0,733,6.817696571350098
6,6000,0.001,-0.007692924700677395,0.35930219292640686,0.4647345542907715,0.09257261455059052,0.10325000458396971,,,-1000000000.0,737,8.131714344024658
7,7000,0.001,0.00937009695917368,0.06350039690732956,0.5654709339141846,0.03255811333656311,0.10625000530853868,-21.0,0.0,-21.0,733,9.544377565383911
8,8000,0.001,1.970768062165007e-05,0.07293523102998734,0.3732618987560272,0.01939777471125126,0.088250003347639,-20.75,0.4330127018922193,-20.0,729,10.96029019355774
9,9000,0.001,-0.0186175387352705,0.031226204708218575,0.27022144198417664,0.002824365859851241,0.03650000144261867,-20.75,0.4330127018922193,-20.0,725,12.40437626838684
10,10000,0.001,0.04438086971640587,0.06638443470001221,0.8588618636131287,0.1530907303094864,0.11050000294926576,-20.75,0.4330127018922193,-20.0,722,13.84080457687378
11,11000,0.001,0.062675341963768,0.037672221660614014,0.8316393494606018,0.007901996374130249,0.13500000548083335,-20.75,0.4330127018922193,-20.0,726,15.151443719863892
12,12000,0.001,-0.02776368521153927,0.0075614419765770435,0.6241393685340881,0.06567922979593277,0.18500000471249223,-20.75,0.4330127018922193,-20.0,726,16.513947248458862
13,13000,0.001,0.021149173378944397,0.12166707962751389,0.4474174976348877,0.028102010488510132,0.10625000525033101,-20.818181818181817,0.385694607919935,-20.0,727,17.8679141998291
14,14000,0.001,0.027266021817922592,0.22317850589752197,0.3491975963115692,0.002187348436564207,0.04850000294391066,-20.875,0.33071891388307384,-20.0,720,19.438268423080444
15,15000,0.001,-0.016737524420022964,0.014064205810427666,0.4250504970550537,0.012299565598368645,0.06375000299885869,-20.875,0.33071891388307384,-20.0,723,20.740307807922363
16,16000,0.001,0.01756814680993557,0.00617554597556591,0.5107802748680115,0.02566678822040558,0.03725000179838389,-20.875,0.33071891388307384,-20.0,726,22.03395104408264
17,17000,0.001,-0.15198959410190582,0.006924165412783623,0.7912800908088684,0.051307711750268936,0.09750000340864062,-20.875,0.33071891388307384,-20.0,727,23.37432837486267
18,18000,0.001,-0.03135096654295921,0.006812842562794685,0.6167148947715759,0.01608198694884777,0.11000000545755029,-20.875,0.33071891388307384,-20.0,727,24.73048710823059
